Location,Resort,Pass,Limited or unlimited,Total Lifts,Summit height,Vertical Drop,Base Elevation,Runs in Total,Longest Run,Skiable Terrain,Snow Making,Projected Opening,Projected Closing,Projected Days Open,Days Open Last Year,Years Open,Average Snowfall,Beginners Runs,Intermediate Runs,Advanced Runs,Expert Runs,Night Skiing
colorado,Copper Mountain,Ikon,unlimited,24,12313,2738,9712,150,1.7 mi,2527 ac,364 ac,2021-11-22,2022-04-24,163,153,50,300,25.0,24.0,34.0,17.0,
wyoming,Jackson Hole,Ikon,limited,13,10450,4139,6311,131,4.5 mi,2500 ac,195 ac,2021-11-25,2022-04-10,136,136,57,459,4.0,41.0,38.0,17.0,
colorado,Steamboat,Ikon,unlimited,18,10568,3668,6900,169,3 mi,2965 ac,375 ac,2021-11-27,2022-04-10,149,144,59,336,12.0,38.0,40.0,7.0,30 ac
colorado,Breckenridge,Epic,unlimited,34,12998,3398,9600,187,3.5 mi,2908 ac,600 ac,2021-11-12,2022-05-30,199,204,61,300,13.0,23.0,36.0,28.0,
colorado,Vail,Epic,unlimited,31,11570,3450,8120,267,4 mi,5289 ac,461 ac,2021-11-12,2022-05-01,156,158,60,354,22.0,34.0,41.0,2.0,
colorado,Telluride,Epic,limited,17,13150,4425,8725,147,4.6 mi,2000 ac,220 ac,2021-12-03,2022-04-17,129,136,50,280,16.0,30.0,21.0,34.0,
